canonical_term,display_label,type,category,source,source_detail,priority_tier,core_or_fringe,part_of_speech,phrase_pos,ui_tab,intent_tags,scenario_tags,allowed_for_generation,allowed_for_grid,requires_personalization,synonyms_or_variants,phrase_templates,notes
which,which,word,Social,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,word,,more,social,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
while,while,word,Social,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,word,,more,social,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
who,who,word,Question Words,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,question word,,more,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
whole,whole,word,Descriptors,Marvin 330 preschool words,,Tier 3 - Reference expansion,fringe/personalizable,descriptor/adjective,,more,description/labeling,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
why,why,word,Question Words,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,question word,,more,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
with,with,word,People/Pronouns/Possessives,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,word,,more,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
would,would,word,Uncategorized,Marvin 330 preschool words,,Tier 3 - Reference expansion,fringe/personalizable,verb/action,,more,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
ya,ya,word,Uncategorized,Marvin 330 preschool words,,Tier 3 - Reference expansion,fringe/personalizable,word,,more,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
yet,yet,word,Uncategorized,Marvin 330 preschool words,,Tier 3 - Reference expansion,fringe/personalizable,word,,more,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
you'll,you'll,word,People/Pronouns/Possessives,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,pronoun/person,,people,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
you're,you're,word,People/Pronouns/Possessives,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,pronoun/person,,people,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
yours,yours,word,People/Pronouns/Possessives,Marvin 330 preschool words,,Tier 3 - Reference expansion,core,pronoun/person,,people,general vocabulary,,Yes,No,No,,,Reference expansion from Marvin et al. 330 preschool words
